time;lv Rx;lv Ry;lv Rz;lv Vx;lv Vy;lv Vz;sc Rx;sc Ry;sc Rz;sc Vx;sc Vy;sc Vz;rel dist;rel vel;stiff force
0.79;5735237.980408885;-935365.5595524106;3294419.6299293363;-3441.205947741075;2125.8574988202095;6594.402167231351;5735237.797141705;-935365.4461893367;3294419.9819303975;-3441.4090705630697;2125.9831439437407;6594.792305000749;0.4127260505824484;0.45744186187252694;0.0
0.8;5735203.567965922;-935344.3009148798;3294485.5737307263;-3441.2826446800923;2125.8700072942274;6594.358110613437;5735203.382667514;-935344.1862953546;3294485.929633165;-3441.485767499609;2125.9956524162326;6594.74824837811;0.4173004690113286;0.4574418563226188;0.0
0.81;5735169.154755992;-935323.0421522657;3294551.5170915457;-3441.3593411589004;2125.882515483953;6594.314053113667;5735168.967426356;-935322.9262762893;3294551.876895362;-3441.562463975912;2126.008160604414;6594.704190873561;0.42187488742381146;0.45744185071073434;0.0
0.8200000000000001;5735134.7407791;-935301.7832645711;3294617.460011786;-3441.436037177489;2125.8950233893834;6594.269994732044;5735134.5514182355;-935301.6661321435;3294617.8237169795;-3441.6391599919684;2126.0206685082844;6594.660132487109;0.4264493058526917;0.4574418450387997;0.0
0.8300000000000001;5735100.32603525;-935280.5242517989;3294683.4024914373;-3441.512732735848;2125.9075310105172;6594.225935468577;5735100.134643158;-935280.4058629201;3294683.7700980087;-3441.7158555477677;2126.033176127841;6594.616073218759;0.4310237242331989;0.45744183930513854;0.0
0.84;5735065.910524447;-935259.2651139518;3294749.344530492;-3441.5894278339674;2125.9200383473526;6594.181875323269;5735065.717101126;-935259.1454686219;3294749.716038441;-3441.792550643299;2126.0456834630827;6594.572013068519;0.43559814304364863;0.45744183351089845;0.0
0.85;5735031.494246695;-935238.0058510328;3294815.286128941;-3441.666122471836;2125.9325453998886;6594.137814296128;5735031.298792146;-935237.8849492518;3294815.661538267;-3441.869245278553;2126.0581905140075;6594.527952036392;0.440172561027008;0.45744182765521085;0.0
0.86;5734997.077201999;-935216.7464630448;3294881.227286775;-3441.742816649444;2125.9450521681224;6594.09375238716;5734996.879716222;-935216.6243048125;3294881.6065974785;-3441.9459394535183;2126.0706972806142;6594.483890122386;0.44474697904234306;0.45744182173821646;0.0
0.87;5734962.659390364;-935195.4869499904;3294947.1680039857;-3441.819510366781;2125.957558652053;6594.049689596369;5734962.459873359;-935195.3635353071;3294947.551216067;-3442.0226331681856;2126.0832037629;6594.439827326505;0.44932139780441976;0.4574418157604253;0.0
0.88;5734928.240811793;-935174.2273118726;3295013.108280564;-3441.8962036238368;2125.970064851679;6594.005625923763;5734928.03926356;-935174.1026407382;3295013.495394022;-3442.0993264225435;2126.095709960865;6594.395763648758;0.4538958153906313;0.4574418097212025;0.0
